Order_ID,Product,Category,Warehouse,Supplier,Order_Date,Delivery_Date,Quantity,Price_per_Unit,Total_Cost,Delivery_Delay_Days,Spoilage_%
ORD1056,Fruits,Perishable,WH_A,Supplier_X,2024-02-26,2024-02-28,300,19.31,5793.0,2,8.52
ORD1057,Bread,Perishable,WH_B,Supplier_Y,2024-02-27,2024-02-29,272,37.53,10208.16,2,4.04
ORD1058,Fruits,Perishable,WH_A,Supplier_Y,2024-02-28,2024-03-01,94,44.27,4161.38,2,0.78
ORD1059,Bread,Perishable,WH_B,Supplier_Y,2024-02-29,2024-03-02,155,77.03,11939.65,2,5.43
ORD1060,Bread,Non-Perishable,WH_B,Supplier_Y,2024-03-01,2024-03-03,332,75.63,25109.16,2,8.62
ORD1061,Fruits,Perishable,WH_A,Supplier_Z,2024-03-02,2024-03-04,51,63.13,3219.63,2,5.9
ORD1062,Vegetables,Non-Perishable,WH_A,Supplier_Z,2024-03-03,2024-03-05,383,15.06,5767.9800000000005,2,2.26
ORD1063,Bread,Perishable,WH_A,Supplier_Y,2024-03-04,2024-03-06,134,19.4,2599.6,2,3.84
ORD1064,Bread,Perishable,WH_B,Supplier_Z,2024-03-05,2024-03-07,176,13.91,2448.16,2,4.5
ORD1065,Fruits,Non-Perishable,WH_B,Supplier_X,2024-03-06,2024-03-08,434,59.83,25966.219999999998,2,5.79
ORD1066,Bread,Perishable,WH_C,Supplier_X,2024-03-07,2024-03-09,250,88.33,22082.5,2,7.59
ORD1067,Bread,Non-Perishable,WH_A,Supplier_X,2024-03-08,2024-03-10,468,46.21,21626.28,2,0.99
ORD1068,Fruits,Perishable,WH_B,Supplier_Y,2024-03-09,2024-03-11,496,20.28,10058.880000000001,2,8.9
ORD1069,Fruits,Non-Perishable,WH_B,Supplier_X,2024-03-10,2024-03-12,289,58.01,16764.89,2,0.12
ORD1070,Milk,Perishable,WH_A,Supplier_Z,2024-03-11,2024-03-13,197,82.12,16177.640000000001,2,3.7
ORD1071,Vegetables,Non-Perishable,WH_C,Supplier_Y,2024-03-12,2024-03-14,311,75.46,23468.059999999998,2,0.27
ORD1072,Vegetables,Perishable,WH_A,Supplier_Z,2024-03-13,2024-03-15,28,88.74,2484.72,2,3.93
ORD1073,Bread,Non-Perishable,WH_C,Supplier_X,2024-03-14,2024-03-16,77,31.4,2417.7999999999997,2,5.26
ORD1074,Vegetables,Perishable,WH_B,Supplier_X,2024-03-15,2024-03-17,227,23.43,5318.61,2,5.12
ORD1075,Bread,Perishable,WH_C,Supplier_X,2024-03-16,2024-03-18,111,88.58,9832.38,2,1.66
ORD1076,Milk,Non-Perishable,WH_B,Supplier_Y,2024-03-17,2024-03-19,51,67.47,3440.97,2,6.46
ORD1077,Fruits,Perishable,WH_A,Supplier_Z,2024-03-18,2024-03-20,297,34.54,10258.38,2,0.45
ORD1078,Fruits,Perishable,WH_A,Supplier_Y,2024-03-19,2024-03-21,176,75.52,13291.519999999999,2,7.62
ORD1079,Fruits,Perishable,WH_A,Supplier_Y,2024-03-20,2024-03-22,118,82.44,9727.92,2,9.47
ORD1080,Vegetables,Perishable,WH_C,Supplier_X,2024-03-21,2024-03-23,45,63.42,2853.9,2,3.4
ORD1081,Milk,Perishable,WH_B,Supplier_Y,2024-03-22,2024-03-24,241,70.35,16954.35,2,5.17
ORD1082,Vegetables,Perishable,WH_A,Supplier_Y,2024-03-23,2024-03-25,238,40.65,9674.699999999999,2,3.79
ORD1083,Vegetables,Non-Perishable,WH_A,Supplier_X,2024-03-24,2024-03-26,362,56.18,20337.16,2,0.07
ORD1084,Milk,Perishable,WH_B,Supplier_Y,2024-03-25,2024-03-27,173,54.8,9480.4,2,3.86
ORD1085,Milk,Perishable,WH_A,Supplier_X,2024-03-26,2024-03-28,396,85.56,33881.76,2,7.92
ORD1086,Milk,Non-Perishable,WH_B,Supplier_X,2024-03-27,2024-03-29,82,84.8,6953.599999999999,2,5.96
ORD1087,Milk,Non-Perishable,WH_B,Supplier_X,2024-03-28,2024-03-30,145,84.1,12194.5,2,1.01
ORD1088,Fruits,Perishable,WH_B,Supplier_X,2024-03-29,2024-03-31,362,6.05,2190.1,2,8.47
ORD1089,Eggs,Perishable,WH_B,Supplier_Y,2024-03-30,2024-04-01,388,76.21,29569.479999999996,2,5.31
ORD1090,Eggs,Perishable,WH_B,Supplier_X,2024-03-31,2024-04-02,79,77.07,6088.53,2,8.42
ORD1091,Milk,Perishable,WH_C,Supplier_X,2024-04-01,2024-04-03,434,69.45,30141.300000000003,2,5.8
ORD1092,Eggs,Perishable,WH_A,Supplier_Y,2024-04-02,2024-04-04,496,76.85,38117.6,2,5.6
ORD1093,Eggs,Perishable,WH_C,Supplier_Y,2024-04-03,2024-04-05,205,84.99,17422.95,2,1.05
ORD1094,Milk,Perishable,WH_A,Supplier_Z,2024-04-04,2024-04-06,278,49.68,13811.039999999999,2,1.67
ORD1095,Eggs,Perishable,WH_C,Supplier_Y,2024-04-05,2024-04-07,58,52.69,3056.02,2,9.72
ORD1096,Vegetables,Non-Perishable,WH_B,Supplier_Y,2024-04-06,2024-04-08,325,16.85,5476.250000000001,2,2.28
ORD1097,Bread,Non-Perishable,WH_A,Supplier_Z,2024-04-07,2024-04-09,139,41.61,5783.79,2,9.77
ORD1098,Bread,Perishable,WH_A,Supplier_Y,2024-04-08,2024-04-10,453,66.12,29952.36,2,5.32
ORD1099,Milk,Perishable,WH_C,Supplier_Y,2024-04-09,2024-04-11,14,79.14,1107.96,2,1.36
ORD1100,Fruits,Perishable,WH_C,Supplier_Y,2024-04-10,2024-04-12,437,25.63,11200.31,2,0.99
ORD1101,Milk,Non-Perishable,WH_A,Supplier_Y,2024-04-11,2024-04-13,36,18.09,651.24,2,2.09
ORD1102,Fruits,Perishable,WH_C,Supplier_Z,2024-04-12,2024-04-14,169,67.99,11490.31,2,9.26
ORD1103,Bread,Perishable,WH_C,Supplier_Y,2024-04-13,2024-04-15,158,5.18,818.4399999999999,2,4.14
ORD1104,Milk,Non-Perishable,WH_C,Supplier_Y,2024-04-14,2024-04-16,273,21.95,5992.349999999999,2,3.95
ORD1105,Vegetables,Non-Perishable,WH_B,Supplier_Z,2024-04-15,2024-04-17,239,7.76,1854.6399999999999,2,3.13
ORD1106,Eggs,Non-Perishable,WH_B,Supplier_X,2024-04-16,2024-04-18,209,20.85,4357.650000000001,2,1.47
ORD1107,Fruits,Non-Perishable,WH_C,Supplier_Z,2024-04-17,2024-04-19,59,22.23,1311.57,2,4.88
ORD1108,Eggs,Perishable,WH_C,Supplier_X,2024-04-18,2024-04-20,76,41.83,3179.08,2,1.3
ORD1109,Eggs,Perishable,WH_B,Supplier_Z,2024-04-19,2024-04-21,309,43.22,13354.98,2,8.35
ORD1110,Milk,Non-Perishable,WH_B,Supplier_Z,2024-04-20,2024-04-22,390,88.05,34339.5,2,3.7
ORD1111,Eggs,Non-Perishable,WH_A,Supplier_Y,2024-04-21,2024-04-23,67,53.46,3581.82,2,3.75
ORD1112,Vegetables,Perishable,WH_A,Supplier_X,2024-04-22,2024-04-24,268,73.72,19756.96,2,4.74
ORD1113,Eggs,Perishable,WH_B,Supplier_Y,2024-04-23,2024-04-25,351,14.89,5226.39,2,4.44
ORD1114,Milk,Perishable,WH_C,Supplier_X,2024-04-24,2024-04-26,335,26.42,8850.7,2,9.95
ORD1115,Vegetables,Non-Perishable,WH_C,Supplier_Z,2024-04-25,2024-04-27,139,71.78,9977.42,2,5.45
ORD1116,Bread,Non-Perishable,WH_C,Supplier_Z,2024-04-26,2024-04-28,224,10.02,2244.48,2,0.88
ORD1117,Eggs,Perishable,WH_C,Supplier_X,2024-04-27,2024-04-29,181,51.23,9272.63,2,6.07
ORD1118,Milk,Perishable,WH_A,Supplier_Y,2024-04-28,2024-04-30,267,61.94,16537.98,2,1.52
ORD1119,Bread,Perishable,WH_B,Supplier_Y,2024-04-29,2024-05-01,111,62.2,6904.200000000001,2,0.31
ORD1120,Bread,Non-Perishable,WH_C,Supplier_Y,2024-04-30,2024-05-02,218,7.18,1565.24,2,9.71
ORD1121,Fruits,Non-Perishable,WH_A,Supplier_Y,2024-05-01,2024-05-03,300,35.6,10680.0,2,7.74
ORD1122,Vegetables,Non-Perishable,WH_C,Supplier_Z,2024-05-02,2024-05-04,363,65.47,23765.61,2,9.8
ORD1123,Eggs,Perishable,WH_B,Supplier_Z,2024-05-03,2024-05-05,480,19.15,9192.0,2,4.78
ORD1124,Milk,Perishable,WH_A,Supplier_Z,2024-05-04,2024-05-06,295,71.06,20962.7,2,5.32
ORD1125,Fruits,Perishable,WH_B,Supplier_Z,2024-05-05,2024-05-07,125,75.86,9482.5,2,1.68
ORD1126,Vegetables,Perishable,WH_B,Supplier_Z,2024-05-06,2024-05-08,273,98.29,26833.170000000002,2,2.47
ORD1127,Fruits,Non-Perishable,WH_A,Supplier_Y,2024-05-07,2024-05-09,159,24.93,3963.87,2,8.39
ORD1128,Vegetables,Non-Perishable,WH_A,Supplier_Y,2024-05-08,2024-05-10,309,83.39,25767.51,2,3.56
ORD1129,Vegetables,Non-Perishable,WH_A,Supplier_Y,2024-05-09,2024-05-11,451,54.43,24547.93,2,8.27
ORD1130,Eggs,Non-Perishable,WH_A,Supplier_Y,2024-05-10,2024-05-12,45,40.48,1821.6,2,7.09
ORD1131,Vegetables,Perishable,WH_A,Supplier_Z,2024-05-11,2024-05-13,462,16.63,7683.0599999999995,2,1.77
ORD1132,Fruits,Non-Perishable,WH_A,Supplier_Z,2024-05-12,2024-05-14,342,74.87,25605.54,2,5.07
ORD1133,Vegetables,Non-Perishable,WH_A,Supplier_Z,2024-05-13,2024-05-15,486,27.41,13321.26,2,6.77
ORD1134,Eggs,Non-Perishable,WH_C,Supplier_X,2024-05-14,2024-05-16,296,40.29,11925.84,2,2.35
ORD1135,Eggs,Perishable,WH_B,Supplier_Y,2024-05-15,2024-05-17,312,10.94,3413.2799999999997,2,8.31
ORD1136,Fruits,Perishable,WH_A,Supplier_Y,2024-05-16,2024-05-18,320,81.13,25961.6,2,5.45
ORD1137,Bread,Perishable,WH_C,Supplier_Z,2024-05-17,2024-05-19,217,77.83,16889.11,2,1.65
ORD1138,Bread,Non-Perishable,WH_C,Supplier_Y,2024-05-18,2024-05-20,115,74.69,8589.35,2,5.83
ORD1139,Vegetables,Perishable,WH_C,Supplier_Y,2024-05-19,2024-05-21,455,33.45,15219.750000000002,2,10.0
ORD1140,Milk,Perishable,WH_B,Supplier_Z,2024-05-20,2024-05-22,167,21.48,3587.16,2,1.51
ORD1141,Vegetables,Perishable,WH_A,Supplier_X,2024-05-21,2024-05-23,130,65.57,8524.099999999999,2,8.17
ORD1142,Fruits,Perishable,WH_C,Supplier_X,2024-05-22,2024-05-24,64,52.14,3336.96,2,2.07
ORD1143,Fruits,Perishable,WH_B,Supplier_X,2024-05-23,2024-05-25,409,21.93,8969.369999999999,2,7.82
ORD1144,Fruits,Perishable,WH_B,Supplier_Z,2024-05-24,2024-05-26,21,70.16,1473.36,2,7.35
ORD1145,Fruits,Perishable,WH_B,Supplier_Y,2024-05-25,2024-05-27,154,99.16,15270.64,2,3.0
ORD1146,Fruits,Perishable,WH_C,Supplier_Z,2024-05-26,2024-05-28,409,75.99,31079.909999999996,2,3.26
ORD1147,Eggs,Non-Perishable,WH_A,Supplier_Z,2024-05-27,2024-05-29,405,75.3,30496.5,2,7.93
ORD1148,Bread,Perishable,WH_C,Supplier_Y,2024-05-28,2024-05-30,145,95.28,13815.6,2,4.61
ORD1149,Fruits,Non-Perishable,WH_C,Supplier_X,2024-05-29,2024-05-31,477,24.28,11581.560000000001,2,7.31
ORD1150,Milk,Perishable,WH_A,Supplier_X,2024-05-30,2024-06-01,12,58.73,704.76,2,1.48
ORD1151,Milk,Perishable,WH_A,Supplier_Z,2024-05-31,2024-06-02,153,98.07,15004.71,2,8.53
ORD1152,Milk,Non-Perishable,WH_A,Supplier_X,2024-06-01,2024-06-03,39,20.7,807.3,2,7.11
ORD1153,Milk,Perishable,WH_B,Supplier_Z,2024-06-02,2024-06-04,246,71.52,17593.92,2,9.07
ORD1154,Eggs,Perishable,WH_A,Supplier_Z,2024-06-03,2024-06-05,288,60.65,17467.2,2,1.32
ORD1155,Milk,Perishable,WH_C,Supplier_Y,2024-06-04,2024-06-06,357,60.72,21677.04,2,5.93
ORD1156,Fruits,Non-Perishable,WH_A,Supplier_Y,2024-06-05,2024-06-07,124,71.28,8838.72,2,5.99
ORD1157,Vegetables,Perishable,WH_C,Supplier_Y,2024-06-06,2024-06-08,113,93.31,10544.03,2,3.53
ORD1158,Milk,Non-Perishable,WH_B,Supplier_Z,2024-06-07,2024-06-09,127,79.35,10077.449999999999,2,4.58
ORD1159,Eggs,Perishable,WH_C,Supplier_Y,2024-06-08,2024-06-10,14,10.33,144.62,2,0.38
ORD1160,Eggs,Perishable,WH_C,Supplier_X,2024-06-09,2024-06-11,477,86.01,41026.770000000004,2,7.46
ORD1161,Milk,Perishable,WH_A,Supplier_X,2024-06-10,2024-06-12,369,26.43,9752.67,2,5.49
ORD1162,Vegetables,Perishable,WH_A,Supplier_Z,2024-06-11,2024-06-13,257,40.81,10488.17,2,0.58
ORD1163,Milk,Perishable,WH_C,Supplier_Z,2024-06-12,2024-06-14,373,48.86,18224.78,2,6.81
ORD1164,Eggs,Perishable,WH_A,Supplier_Y,2024-06-13,2024-06-15,330,50.69,16727.7,2,4.67
ORD1165,Bread,Perishable,WH_B,Supplier_Z,2024-06-14,2024-06-16,130,46.34,6024.200000000001,2,0.34
ORD1166,Fruits,Non-Perishable,WH_B,Supplier_Z,2024-06-15,2024-06-17,295,94.05,27744.75,2,9.7
ORD1167,Eggs,Perishable,WH_A,Supplier_X,2024-06-16,2024-06-18,158,72.07,11387.06,2,9.49
ORD1168,Milk,Perishable,WH_B,Supplier_X,2024-06-17,2024-06-19,93,64.96,6041.28,2,5.13
ORD1169,Fruits,Non-Perishable,WH_A,Supplier_Y,2024-06-18,2024-06-20,463,9.73,4504.99,2,0.94
ORD1170,Milk,Perishable,WH_C,Supplier_Z,2024-06-19,2024-06-21,415,90.87,37711.05,2,7.55
ORD1171,Milk,Perishable,WH_C,Supplier_Z,2024-06-20,2024-06-22,475,91.39,43410.25,2,4.92
ORD1172,Bread,Non-Perishable,WH_B,Supplier_X,2024-06-21,2024-06-23,465,79.12,36790.8,2,3.02
ORD1173,Fruits,Non-Perishable,WH_A,Supplier_Z,2024-06-22,2024-06-24,240,5.67,1360.8,2,4.91
ORD1174,Fruits,Perishable,WH_A,Supplier_X,2024-06-23,2024-06-25,297,10.44,3100.68,2,5.22
ORD1175,Bread,Non-Perishable,WH_B,Supplier_Y,2024-06-24,2024-06-26,170,26.4,4488.0,2,5.63
ORD1176,Eggs,Perishable,WH_C,Supplier_X,2024-06-25,2024-06-27,281,17.48,4911.88,2,4.41
ORD1177,Milk,Perishable,WH_B,Supplier_Z,2024-06-26,2024-06-28,469,42.89,20115.41,2,6.06
ORD1178,Vegetables,Perishable,WH_C,Supplier_Y,2024-06-27,2024-06-29,47,92.65,4354.55,2,9.19
ORD1179,Milk,Non-Perishable,WH_A,Supplier_X,2024-06-28,2024-06-30,235,49.85,11714.75,2,3.62
ORD1180,Milk,Perishable,WH_C,Supplier_X,2024-06-29,2024-07-01,151,6.27,946.77,2,7.26
ORD1181,Eggs,Perishable,WH_B,Supplier_Y,2024-06-30,2024-07-02,301,31.86,9589.86,2,8.94
ORD1182,Milk,Perishable,WH_A,Supplier_Y,2024-07-01,2024-07-03,490,9.24,4527.6,2,4.56
ORD1183,Bread,Perishable,WH_B,Supplier_X,2024-07-02,2024-07-04,160,8.45,1352.0,2,4.43
ORD1184,Bread,Perishable,WH_B,Supplier_Z,2024-07-03,2024-07-05,123,31.19,3836.3700000000003,2,6.02
ORD1185,Fruits,Perishable,WH_C,Supplier_X,2024-07-04,2024-07-06,246,31.18,7670.28,2,5.91
ORD1186,Vegetables,Perishable,WH_B,Supplier_Y,2024-07-05,2024-07-07,75,79.78,5983.5,2,8.07
ORD1187,Milk,Perishable,WH_C,Supplier_X,2024-07-06,2024-07-08,370,97.61,36115.7,2,4.76
ORD1188,Milk,Perishable,WH_A,Supplier_Y,2024-07-07,2024-07-09,350,40.26,14091.0,2,9.96
ORD1189,Eggs,Perishable,WH_C,Supplier_Y,2024-07-08,2024-07-10,267,45.74,12212.58,2,0.59
ORD1190,Bread,Perishable,WH_A,Supplier_Z,2024-07-09,2024-07-11,484,85.25,41261.0,2,0.03
ORD1191,Vegetables,Perishable,WH_C,Supplier_Y,2024-07-10,2024-07-12,258,30.47,7861.259999999999,2,6.4
ORD1192,Fruits,Non-Perishable,WH_B,Supplier_Y,2024-07-11,2024-07-13,466,19.86,9254.76,2,2.98
ORD1193,Bread,Perishable,WH_C,Supplier_Z,2024-07-12,2024-07-14,458,86.04,39406.32,2,2.4
ORD1194,Fruits,Perishable,WH_C,Supplier_Y,2024-07-13,2024-07-15,340,9.42,3202.8,2,3.12
ORD1195,Eggs,Perishable,WH_A,Supplier_Z,2024-07-14,2024-07-16,332,63.87,21204.84,2,2.56
ORD1196,Eggs,Perishable,WH_B,Supplier_Z,2024-07-15,2024-07-17,189,58.39,11035.710000000001,2,0.31
ORD1197,Milk,Perishable,WH_C,Supplier_Y,2024-07-16,2024-07-18,199,37.86,7534.14,2,9.72
ORD1198,Vegetables,Perishable,WH_B,Supplier_Y,2024-07-17,2024-07-19,416,34.94,14535.039999999999,2,2.21
ORD1199,Fruits,Perishable,WH_C,Supplier_X,2024-07-18,2024-07-20,163,78.33,12767.789999999999,2,7.34
ORD1200,Bread,Perishable,WH_C,Supplier_Z,2024-07-19,2024-07-21,205,13.21,2708.05,2,7.63
ORD1201,Eggs,Perishable,WH_B,Supplier_X,2024-07-20,2024-07-22,475,27.49,13057.75,2,9.29
ORD1202,Milk,Perishable,WH_C,Supplier_Y,2024-07-21,2024-07-23,320,74.58,23865.6,2,0.31
ORD1203,Milk,Perishable,WH_B,Supplier_X,2024-07-22,2024-07-24,271,57.09,15471.390000000001,2,8.72
ORD1204,Fruits,Perishable,WH_C,Supplier_Z,2024-07-23,2024-07-25,428,17.16,7344.4800000000005,2,5.27
ORD1205,Eggs,Perishable,WH_A,Supplier_X,2024-07-24,2024-07-26,415,88.8,36852.0,2,6.33
ORD1206,Vegetables,Perishable,WH_B,Supplier_Z,2024-07-25,2024-07-27,436,42.38,18477.68,2,6.44
ORD1207,Eggs,Perishable,WH_C,Supplier_Y,2024-07-26,2024-07-28,152,83.65,12714.800000000001,2,8.2
ORD1208,Fruits,Perishable,WH_C,Supplier_Y,2024-07-27,2024-07-29,351,79.83,28020.329999999998,2,3.33
ORD1209,Fruits,Non-Perishable,WH_A,Supplier_Z,2024-07-28,2024-07-30,325,64.32,20903.999999999996,2,7.33
ORD1210,Eggs,Perishable,WH_B,Supplier_Y,2024-07-29,2024-07-31,110,51.98,5717.799999999999,2,5.29
ORD1211,Fruits,Perishable,WH_C,Supplier_Y,2024-07-30,2024-08-01,253,98.06,24809.18,2,7.93
ORD1212,Eggs,Non-Perishable,WH_A,Supplier_Y,2024-07-31,2024-08-02,499,18.77,9366.23,2,9.91
ORD1213,Bread,Non-Perishable,WH_C,Supplier_Y,2024-08-01,2024-08-03,21,73.89,1551.69,2,2.01
ORD1214,Eggs,Perishable,WH_B,Supplier_Z,2024-08-02,2024-08-04,248,23.16,5743.68,2,9.95
ORD1215,Eggs,Perishable,WH_C,Supplier_X,2024-08-03,2024-08-05,58,37.13,2153.54,2,0.9
ORD1216,Fruits,Non-Perishable,WH_C,Supplier_X,2024-08-04,2024-08-06,51,34.33,1750.83,2,0.02
ORD1217,Fruits,Non-Perishable,WH_C,Supplier_Y,2024-08-05,2024-08-07,175,94.97,16619.75,2,0.44
ORD1218,Milk,Perishable,WH_C,Supplier_X,2024-08-06,2024-08-08,91,96.9,8817.9,2,3.42
ORD1219,Milk,Perishable,WH_A,Supplier_X,2024-08-07,2024-08-09,438,22.39,9806.82,2,6.33
ORD1220,Bread,Perishable,WH_A,Supplier_Y,2024-08-08,2024-08-10,300,7.09,2127.0,2,0.69
ORD1221,Milk,Perishable,WH_B,Supplier_Y,2024-08-09,2024-08-11,167,73.4,12257.800000000001,2,0.06
ORD1222,Eggs,Perishable,WH_A,Supplier_X,2024-08-10,2024-08-12,225,44.71,10059.75,2,9.37
ORD1223,Fruits,Perishable,WH_A,Supplier_Z,2024-08-11,2024-08-13,499,13.44,6706.5599999999995,2,8.22
ORD1224,Milk,Perishable,WH_B,Supplier_Y,2024-08-12,2024-08-14,167,69.96,11683.32,2,8.09
ORD1225,Milk,Non-Perishable,WH_A,Supplier_Z,2024-08-13,2024-08-15,471,56.79,26748.09,2,8.84
